Date,Day,HighTemp ,LowTemp ,Precipitation,BrooklynBridge,Total
6/1,Thursday,78.1,62.1,0.00,3468.00,25441.00
6/2,Friday,73.9,60.1,0.01,3271.00,23539.00
6/3,Saturday,72.0,55,0.01,2589.00,17393.00
6/4,Sunday,68.0,60.1,0.09,1805.00,11978.00
6/5,Monday,66.9,60.1,0.02,2171.00,15358.00
6/6,Tuesday,55.9,53.1,0.06,1193.00,10593.00
6/7,Wednesday,66.9,54,0.00,3211.00,23095.00
6/8,Thursday,68.0,59,0.00,3253.00,23402.00
6/9,Friday,80.1,59,0.00,3401.00,23159.00
6/10,Saturday,84.0,68,0.00,3066.00,19075.00
6/11,Sunday,90.0,73,0.00,2465.00,15184.00
6/12,Monday,91.9,77,0.00,2854.00,21200.00
6/13,Tuesday,93.9,78.1,0.00,2882.00,21577.00
6/14,Wednesday,84.0,69.1,0.29,2596.00,19997.00
6/15,Thursday,75.0,66,0.00,3510.00,26360.00
6/16,Friday,68.0,66,0.00,2054.00,17168.00
6/17,Saturday,73.0,66.9,1.39,1399.00,10448.00
6/18,Sunday,84.0,72,1.00,2199.00,14510.00
6/19,Monday,87.1,70,1.35,1648.00,13087.00
6/20,Tuesday,82.0,72,0.03,3407.00,24946.00
6/21,Wednesday,82.0,72,0.00,3304.00,25633.00
6/22,Thursday,82.0,70,0.00,3368.00,25588.00
6/23,Friday,82.9,75.9,0.04,2283.00,16907.00
6/24,Saturday,82.9,71.1,1.29,2307.00,14850.00
6/25,Sunday,82.0,69.1,0.00,2625.00,17431.00
6/26,Monday,78.1,66,0.00,3386.00,24422.00
6/27,Tuesday,75.9,61,0.18,3182.00,22580.00
6/28,Wednesday,78.1,62.1,0.00,3766.00,26712.00
6/29,Thursday,81.0,68,0.00,3356.00,24838.00
6/30,Friday,88.0,73.9,0.00,2687.00,20344.00
